amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,scheme_name
100016,-0.022257773892688015,0.012923525892154508,0.026370743672111008,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.03707552701889649,0.03915479354684703,0.04458209619173137,HDFC Short Term Debt Fund - Regular - Growth
100033,0.5327719549540499,0.3243397122906222,0.3012315310072722,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.4796379447633372,0.28960211096593724,0.2353836133468803,ABSL Frontline Equity Fund - Regular - Growth
101207,-0.24000309180292634,-0.04151453816140693,0.07938764837247714,ABSL Small Cap Fund - Regular - Growth
101208,0.07241777200393584,0.06314299292105274,0.06509026855465327,ABSL Liquid Fund - Regular - Growth
102885,0.20222858595384663,0.19662361245910964,0.18232378887705947,UTI Nifty 50 Index Fund - Regular - Growth
102886,-0.16807959958672036,-0.007672319440258146,0.011717454918341197,UTI Mid Cap Fund - Regular - Growth
102887,0.1359304393755194,0.25549670172502026,0.16841120247307528,UTI Flexi Cap Fund - Regular - Growth
118632,0.340078958236512,0.22646647456747715,0.24049492662391758,Nippon India Large Cap Fund - Regular - Growth
118633,0.25559539940517384,0.21084691029380598,0.16274217354504272,Nippon India Large Cap Fund - Direct - Growth
118634,0.158228664455887,0.080060298597036,0.16373474033415758,Nippon India Small Cap Fund - Regular - Growth
118635,0.22510248103762276,0.2000321571698329,0.15957231179671738,Nippon India ETF Nifty 50 BeES
118636,0.1046246278808034,0.04061259859840338,0.05316889625171273,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.0161022963455828,0.005257668501786883,0.06367989237605243,Axis Bluechip Fund - Regular - Growth
119093,0.19781538524100495,0.20811559826631898,0.07897557854375958,Axis Bluechip Fund - Direct - Growth
119094,0.22277897154308546,0.35102527889035406,0.2821441719365203,Axis Midcap Fund - Regular - Growth
119095,-0.42819495166622135,-0.11703299329834216,0.015215045330823962,Axis Small Cap Fund - Regular - Growth
119120,0.05525880326360788,0.05838988442093762,0.05889418716346717,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.6048929711840034,0.3044861306002782,0.25804686425584,SBI Bluechip Fund - Regular Plan - Growth
119552,0.057101178520777784,0.16263375081360643,0.21524235873769704,SBI Bluechip Fund - Direct Plan - Growth
119598,0.8285157468100046,0.2666309129954312,0.32423536152454613,SBI Small Cap Fund - Regular Plan - Growth
119599,0.13957994357447734,-0.01337083602283895,0.02054484701809378,SBI Small Cap Fund - Direct Plan - Growth
120503,0.08495135972254553,0.13974980348212673,0.18785325598262204,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.13073788394478303,0.32478927222623,0.2329511862010305,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.29627681171526876,0.3176924285223732,0.3282740607461121,ICICI Pru Midcap Fund - Regular - Growth
120506,0.4185299002066023,0.18417429266835228,0.1708486725575018,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.07430320855847317,0.07392538786263403,0.07237539728384412,ICICI Pru Liquid Fund - Regular - Growth
120841,0.1684955152939842,0.1726301444443794,0.1353221114899239,Kotak Bluechip Fund - Regular - Growth
120842,0.22518986942465924,0.0775416750547262,0.06701543482038463,Kotak Emerging Equity Fund - Regular - Growth
120843,0.2667758391882715,0.2957511058901836,0.3090745475400549,Kotak Flexicap Fund - Regular - Growth
120844,0.07125369741102916,0.06694394239074852,0.06915272985067156,Kotak Liquid Fund - Regular - Growth
125497,0.286975804558778,0.18429918008610047,0.19017795344711463,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.15455077019290386,0.11242518737374207,0.11301817123279978,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.2037595706234765,0.33991970400445304,0.3097410750185903,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.14279834500870736,0.14744434832760533,0.2251686900711385,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.3978380253854239,0.2917135767741186,0.3194952310833252,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.1812461925339035,0.1803973982038829,0.13393275924001857,DSP Top 100 Equity Fund - Regular - Growth
149323,0.21497414349538224,0.26863103668817145,0.29581086910433996,DSP Midcap Fund - Regular - Growth
149324,0.6519546577826334,0.2699350260734621,0.3228744045157361,DSP Small Cap Fund - Regular - Growth
