amfi_code,scheme_name,cagr_3yr,sharpe_ratio,max_drawdown,expense_ratio_pct,alpha,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_dd,score
120505,ICICI Pru Midcap Fund - Regular - Growth,0.3176924285223732,1.1801011976606492,-0.18188513572116294,1.36,0.2926358334175106,90.0,90.0,95.0,65.0,62.5,84.5
119094,Axis Midcap Fund - Regular - Growth,0.35102527889035406,0.9982309868636414,-0.20960883862039192,1.38,0.2607666908004223,100.0,75.0,80.0,60.0,70.0,80.75
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3243397122906222,1.0936987435346308,-0.16217208574644848,1.38,0.2719535450128533,92.5,85.0,87.5,60.0,50.0,80.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.33991970400445304,1.4482911703262602,-0.11265729075028275,1.46,0.2698375144191807,97.5,100.0,85.0,45.0,20.0,80.0
120843,Kotak Flexicap Fund - Regular - Growth,0.2957511058901836,1.3067439695428407,-0.1297396816518679,1.45,0.27330465038306057,85.0,97.5,90.0,47.5,32.5,78.25
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.32478927222623,1.0265242847993004,-0.12588275606922517,0.8,0.2119482701352573,95.0,77.5,70.0,72.5,30.0,75.75
119598,SBI Small Cap Fund - Regular Plan - Growth,0.2666309129954312,0.9453082575156094,-0.2870600572176455,1.43,0.3033696538698332,72.5,67.5,100.0,50.0,90.0,75.125
149324,DSP Small Cap Fund - Regular - Growth,0.2699350260734621,0.9497958246616032,-0.31171900300634214,1.52,0.3005787817097677,77.5,70.0,97.5,36.25,92.5,74.9375
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2917135767741186,1.2349300257743299,-0.1639674294693263,1.6,0.2827036785246582,82.5,95.0,92.5,11.25,52.5,73.9375
119551,SBI Bluechip Fund - Regular Plan - Growth,0.3044861306002782,1.208266567372718,-0.1501238549864533,1.54,0.23201007160635082,87.5,92.5,77.5,26.25,42.5,73.0625
118632,Nippon India Large Cap Fund - Regular - Growth,0.22646647456747715,1.0816591793457044,-0.17414075086657232,1.51,0.21829397904608644,67.5,82.5,75.0,41.25,57.49999999999999,67.8125
149323,DSP Midcap Fund - Regular - Growth,0.26863103668817145,1.1321218524747247,-0.17248105753451382,1.61,0.26598577542043045,75.0,87.5,82.5,7.5,55.00000000000001,67.5
101206,ABSL Frontline Equity Fund - Regular - Growth,0.28960211096593724,1.0272133278753697,-0.11291596329323073,1.6,0.21399784776051212,80.0,80.0,72.5,11.25,22.5,62.4375
